id,postal_cd,country_cd,city_name,state,lat,lng,loc
36063,84604,US,Provo,UT,40.3453610000,-111.5799630000,US-UT-Provo-84604
36064,84605,US,Provo,UT,40.2337000000,-111.6579000000,US-UT-Provo-84605
36065,84606,US,Provo,UT,40.2158000000,-111.6124290000,US-UT-Provo-84606
36066,84620,US,Aurora,UT,38.9099050000,-111.9313550000,US-UT-Aurora-84620
36067,84621,US,Axtell,UT,39.0831570000,-111.9028730000,US-UT-Axtell-84621
36068,84622,US,Centerfield,UT,39.1156710000,-111.8883930000,US-UT-Centerfield-84622
36069,84623,US,Chester,UT,39.4557030000,-111.5767160000,US-UT-Chester-84623
36070,84624,US,Delta,UT,39.3492640000,-112.6683260000,US-UT-Delta-84624
36071,84626,US,Elberta,UT,39.8794890000,-111.9983880000,US-UT-Elberta-84626
36072,84627,US,Ephraim,UT,39.3585680000,-111.4664100000,US-UT-Ephraim-84627
36073,84628,US,Eureka,UT,39.7820110000,-112.3414520000,US-UT-Eureka-84628
36074,84629,US,Fairview,UT,39.6798870000,-111.4828540000,US-UT-Fairview-84629
36075,84630,US,Fayette,UT,39.3085350000,-111.8297710000,US-UT-Fayette-84630
36076,84631,US,Fillmore,UT,38.9502900000,-112.6010320000,US-UT-Fillmore-84631
36077,84632,US,Fountain Green,UT,39.6411040000,-111.6171200000,US-UT-Fountain Green-84632
36078,84633,US,Goshen,UT,39.9438390000,-111.8823180000,US-UT-Goshen-84633
36079,84634,US,Gunnison,UT,39.1865390000,-111.8611280000,US-UT-Gunnison-84634
36080,84635,US,Hinckley,UT,39.3614120000,-112.7751720000,US-UT-Hinckley-84635
36081,84636,US,Holden,UT,39.0742700000,-112.3132440000,US-UT-Holden-84636
36082,84637,US,Kanosh,UT,38.8449250000,-112.6742360000,US-UT-Kanosh-84637
36083,84638,US,Leamington,UT,39.5175370000,-112.2585540000,US-UT-Leamington-84638
36084,84639,US,Levan,UT,39.4794520000,-111.9658490000,US-UT-Levan-84639
36085,84640,US,Lynndyl,UT,39.5090680000,-112.4800400000,US-UT-Lynndyl-84640
36086,84642,US,Manti,UT,39.2024060000,-111.5509400000,US-UT-Manti-84642
36087,84643,US,Mayfield,UT,39.1006980000,-111.6567080000,US-UT-Mayfield-84643
36088,84644,US,Meadow,UT,38.8855000000,-112.4098000000,US-UT-Meadow-84644
36089,84645,US,Mona,UT,39.8575840000,-111.8490940000,US-UT-Mona-84645
36090,84646,US,Moroni,UT,39.5230510000,-111.6120190000,US-UT-Moroni-84646
36091,84647,US,Mount Pleasant,UT,39.4867210000,-111.4973800000,US-UT-Mount Pleasant-84647
36092,84648,US,Nephi,UT,39.5712120000,-111.9696220000,US-UT-Nephi-84648
36093,84649,US,Oak City,UT,39.3765600000,-112.2861700000,US-UT-Oak City-84649
36094,84651,US,Payson,UT,40.0239020000,-111.7120710000,US-UT-Payson-84651
36095,84652,US,Redmond,UT,38.9266850000,-112.0254200000,US-UT-Redmond-84652
36096,84653,US,Salem,UT,40.0261880000,-111.6442340000,US-UT-Salem-84653
36097,84654,US,Salina,UT,38.9005640000,-111.7153280000,US-UT-Salina-84654
36098,84655,US,Santaquin,UT,39.9773240000,-111.6388160000,US-UT-Santaquin-84655
36099,84656,US,Scipio,UT,39.2201860000,-112.1808640000,US-UT-Scipio-84656
36100,84657,US,Sigurd,UT,38.8056970000,-111.8868780000,US-UT-Sigurd-84657
36101,84660,US,Spanish Fork,UT,40.0589040000,-111.6462910000,US-UT-Spanish Fork-84660
36102,84662,US,Spring City,UT,39.4101550000,-111.4220560000,US-UT-Spring City-84662
36103,84663,US,Springville,UT,40.2251640000,-111.4915770000,US-UT-Springville-84663
36104,84664,US,Mapleton,UT,40.1135470000,-111.5791040000,US-UT-Mapleton-84664
36105,84665,US,Sterling,UT,39.1937000000,-111.6919000000,US-UT-Sterling-84665
